Num_pages,Awards,Genre,Publishdate
432 pages,[],"['Fantasy', 'Fiction', 'Christian Fiction', 'Christian', 'Thriller', 'Science Fiction', 'Mystery', 'Adult', 'Adventure', 'Suspense']",['\n              (first published December 25th 2003)\n            ']
264 pages,['Margaret A. Edwards Award (2013)'],"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fantasy', 'High Fantasy', 'Childrens', 'Young Adult', 'Teen']",['\n              (first published September 1st 1984)\n            ']
345 pages,['Compton Crook Award Nominee (2008)'],"['Fantasy', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Magic', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Fantasy', 'High Fantasy', 'Adult', 'Fairies', 'Fae', 'Fantasy', 'Elves']",['\n              (first published March 29th 2007)\n            ']
278 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Romance', 'Adult', 'Science Fiction', 'Paranormal', 'Shapeshifters']",['\n              (first published March 1st 2011)\n            ']
446 pages,"['Hugo Award Nominee for Best Novel (2015)', 'Nebula Award Nominee for Best Novel (2014)', 'Locus Award for Best Fantasy Novel (2015)', 'World Fantasy Award Nominee for Best Novel (2015)', 'Goodreads Choice Award Nominee for Fantasy (2014)']","['Fantasy', 'Fiction', 'Science Fiction', 'Steampunk', 'Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adult', 'Science Fiction', 'Audiobook', 'Adventure']",[]
815 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Epic', 'Adventure', 'Fantasy', 'Magic', 'Audiobook', 'European Literature', 'German Literature']",['\n              (first published 1993)\n            ']
705 pages,['Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2017) and Nominee for Best of the Best  (2018)'],"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fairies', 'Fae', 'Fiction', 'Fantasy', 'Magic', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Paranormal']",[]
639 pages,"['Locus Award Nominee for Best Fantasy Novel (2014)', 'Sunburst Award Nominee for Adult (2014)', 'Prix Aurora Award Nominee for Best Novel (2014)', 'Goodreads Choice Award Nominee for Fantasy (2013)', 'Prix Elbakin.net for Meilleur roman fantasy traduit (2017)', 'Copper Cylinder Award for Adult (2014)']","['Fantasy', 'Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Historical Fiction', 'Historical Fantasy', 'Cultural', 'China', 'Science Fiction Fantasy', 'Cultural', 'Canada', 'Cultural', 'Asia', 'Fantasy', 'Epic Fantasy']",['\n              (first published April 1st 2013)\n            ']
50th Anniversary One-volume Edition,"['Hugo Award Nominee for Best All-Time Series (1966)', 'Prometheus Hall of Fame Award (2009)', 'International Fantasy Award for Fiction (1957)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2002)', 'Prix du Meilleur Livre Étranger for Roman (1972)', 'Nynorsk litteraturpris (2006)']","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Literature', 'Novels', 'Young Adult']",['\n              (first published October 20th 1955)\n            ']
596 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Adventure', 'Young Adult', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Romance', 'Adult']",['\n              (first published 2003)\n            ']
332 pages,"[""Mythopoeic Fantasy Award Nominee for Children's Literature (2008)"", 'Lincoln Award Nominee (2008)']","['Fantasy', 'Young Adult', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Paranormal', 'Fiction', 'Paranormal', 'Fairies', 'Romance', 'Fairies', 'Fae', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Magic']",['\n              (first published October 1st 2002)\n            ']
Artefacts of Power,[],"['Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Fiction', 'Fantasy', 'Dragons', 'Science Fiction Fantasy', 'Adventure', 'Romance', 'Fantasy', 'Epic Fantasy', 'Epic']",['\n              (first published 1994)\n            ']
322 pages,"['Premio de la Fundación El Libro a la mejor obra de literatura juvenil', 'Premio Calidoscopio de Venezuela (2003)']","['Fantasy', 'Fiction', 'European Literature', 'Spanish Literature', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Young Adult', 'Novels', 'Literature', 'Latin American Literature', 'Adult', 'Historical']",['\n              (first published 1999)\n            ']
511 pages,[],"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Teen']",['\n              (first published July 3rd 2006)\n            ']
384 pages,[],"['Fantasy', 'Poetry', 'Fiction', 'Fantasy', 'Mythology', 'Classics', 'Literature', 'Historical', 'Historical Fiction', 'Historical', 'Medieval', 'Science Fiction Fantasy', 'Epic']",['\n              (first published 2009)\n            ']
498 pages,"['Locus Award Nominee for Best Fantasy Novel (1981)', 'Mythopoeic Fantasy Award Nominee (1981)', 'Ditmar Award Nominee for Best International Long Fiction (1981)', 'Balrog Award for Best Novel (1981)', 'British Fantasy Award Nominee for Best Novel (August Derlith Fantasy Award) (1981)']","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Science Fiction', 'Fantasy', 'High Fantasy', 'Epic', 'Adventure', 'Speculative Fiction', 'Novels']",['\n              (first published June 1980)\n            ']
319 pages,[],"['Fantasy', 'Fiction', 'European Literature', 'Polish Literature', 'Audiobook', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Adult', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']",[]
435 pages,"['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005)', 'Colorado Blue Spruce Young Adult Book Award (2004)', 'Maine Student Book Award (2001)', 'Golden Archer Award for Intermediate (2001)', 'Indian Paintbrush Book Award (2004)', 'Soaring Eagle Book Award (2002)', 'Hotze de Roosprijs (2001)', 'Nestlé Smarties Book Prize for 9–11 years (1999)']","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",['\n              (first published July 8th 1999)\n            ']
318 pages,[],"['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Romance', 'Paranormal Romance', 'Fantasy', 'Magic', 'Fantasy', 'Supernatural', 'Young Adult', 'Young Adult Fantasy']",['\n              (first published July 5th 2010)\n            ']
644 pages,['Ditmar Award Nominee for Best Novel (2004)'],"['Fantasy', 'Fantasy', 'Magic', 'Young Adult', 'Fiction', 'Fantasy', 'High Fantasy', 'Romance', 'Fantasy', 'Epic Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Childrens']",['\n              (first published December 18th 2002)\n            ']
382 pages,['Compton Crook Award (2004)'],"['Fantasy', 'Science Fiction', 'Horror', 'Paranormal', 'Vampires', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Paranormal', 'Audiobook']",['\n              (first published October 1st 2001)\n            ']
754 pages,['British Fantasy Award Nominee for Best Novel (1998)'],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Young Adult', 'Adventure', 'Adult', 'Science Fiction']",['\n              (first published October 15th 1997)\n            ']
432 pages,['Goodreads Choice Award Nominee for Fantasy (2016)'],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Audiobook', 'Fantasy', 'Magic', 'Adventure', 'Adult', 'Science Fiction Fantasy', 'Epic']",[]
448 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Heroic Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Epic', 'Heroic Fantasy', 'Sword and Sorcery', 'Fantasy', 'Dark Fantasy']",['\n              (first published 2000)\n            ']
544 pages,['Nebula Award Nominee for Best Novel (2004)'],"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Science Fiction', 'Speculative Fiction', 'Adventure', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Novels', 'Fantasy', 'Magic']",['\n              (first published January 3rd 2004)\n            ']
275 pages,[],"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Speculative Fiction']",['\n              (first published 1986)\n            ']
496 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Speculative Fiction', 'Heroic Fantasy', 'Sword and Sorcery', 'Action']",[]
336 pages,[],"['Fantasy', 'Fiction', 'European Literature', 'Polish Literature', 'Audiobook', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Epic Fantasy', 'Adult', 'Fantasy', 'Magic', 'Science Fiction Fantasy']",[]
160 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Epic', 'Adult', 'Literature', 'American']",['\n              (first published August 25th 1998)\n            ']
First US edition,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Science Fiction', 'Adult', 'Audiobook', 'Fantasy', 'Magic', 'Novels']",['\n              (first published 1998)\n            ']
357 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction', 'Fantasy', 'Magic', 'Adventure', 'Epic', 'Anthologies', 'Collections']",['\n              (first published 2004)\n            ']
Features never-before-published sketches and watercolours of Medalon scenes and characters by artist Stephanie Pui-Mun Law. Includes Reader Notes.,[],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Dragons', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Paranormal', 'Demons', 'Adult', 'Epic']",['\n              (first published July 26th 2000)\n            ']
408 pages,['Mythopoeic Fantasy Award for Adult Literature (2009)'],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Fantasy', 'Dark Fantasy', 'Unfinished', 'Audiobook']",['\n              (first published January 2nd 2007)\n            ']
284 pages,['Margaret A. Edwards Award (2013)'],"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fantasy', 'High Fantasy', 'Childrens', 'Young Adult', 'Teen']",['\n              (first published March 1st 1986)\n            ']
297 pages,"[""Moonbeam Children's Book Award for Pre-Teen Fiction: Fantasy (Gold Medal) (2012)""]","['Fantasy', 'Young Adult', 'Childrens', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Magic', 'Fiction', 'Fantasy', 'Paranormal', 'Science Fiction', 'Young Adult', 'Young Adult Fantasy']",['\n              (first published August 2011)\n            ']
449 pages,"['Mythopoeic Fantasy Award for Adult Literature (2009)', 'Colorado Book Award for Genre Fiction (2009)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Adult', 'Fantasy', 'Dark Fantasy', 'Adventure', 'Heroic Fantasy', 'Sword and Sorcery']",[]
351 pages,[],[],['\n              (first published January 1st 2013)\n            ']
398 pages,[],"['Fantasy', 'Fantasy', 'Epic Fantasy']",[]
Primera Edición,[],['Fantasy'],[]
254 pages,[],[],['\n              (first published April 17th 2017)\n            ']
1st,[],[],[]
"
 | 
",[],[],['\n              (first published October 15th 2016)\n            ']
277 pages,[],"['Fantasy', 'Magical Realism', 'Fiction']",[]
620 pages,['Goodreads Choice Award Nominee for Fantasy (2012)'],"['Fantasy', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Adventure', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Audiobook', 'Romance', 'War', 'Adult']",[]
40 pages,[],"['Fantasy', 'Fantasy', 'Epic Fantasy']",[]
296 pages,[],"['Fantasy', 'Young Adult', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Role Playing Games', 'Dungeons and Dragons', 'Childrens', 'Fiction', 'Adventure']",[]
Folger Shakespeare Library (UK/CAN),[],"['Classics', 'Plays', 'Drama', 'Fiction', 'Fantasy', 'Academic', 'School', 'Plays', 'Theatre', 'Literature', 'Poetry', 'Academic', 'Read For School']",['\n              (first published 1611)\n            ']
312 pages,[],[],[]
First ,[],"['Fantasy', 'Historical', 'Historical Fiction', 'Fiction', 'War', 'Military Fiction', 'War', 'Historical Fiction', 'Historical Fantasy', 'Science Fiction', 'Alternate History', 'Business', 'Amazon', 'Novels', 'Fantasy', 'Magic']",['\n              (first published March 23rd 2015)\n            ']
289 pages,[],"['Fantasy', 'Fiction', 'Mystery', 'Historical', 'Historical Fiction', 'Cultural', 'China', 'Historical', 'Humor', 'Adventure', 'Cultural', 'Asia', 'Science Fiction Fantasy']",['\n              (first published 1988)\n            ']
384 pages,['Margaret A. Edwards Award (2013)'],"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fantasy', 'High Fantasy', 'Childrens', 'Young Adult', 'Teen']",['\n              (first published November 30th 1988)\n            ']
400 pages,[],"['Fantasy', 'Young Adult', 'Fantasy', 'Magic', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Adventure', 'Science Fiction']",['\n              (first published June 28th 2016)\n            ']
405 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Dungeons and Dragons', 'Forgotten Realms', 'Adventure', 'Audiobook', 'Adult', 'Fantasy', 'Heroic Fantasy']",['\n              (first published 2004)\n            ']
502 pages,[],"['Fantasy', 'Fiction', 'Science Fiction', 'Heroic Fantasy', 'Sword and Sorcery', 'Science Fiction Fantasy', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Epic Fantasy', 'Pulp', 'Fantasy', 'High Fantasy', 'Epic']",['\n              (first published January 1st 1992)\n            ']
190 pages,[],"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction', 'Dying Earth', 'Heroic Fantasy', 'Sword and Sorcery', 'Science Fiction Fantasy', 'Humor', 'Speculative Fiction', 'Classics', 'Adventure']",['\n              (first published 1966)\n            ']
406 pages,[],"['Fantasy', 'Fantasy', 'Dragons', 'Fantasy', 'Paranormal']",['\n              (first published January 26th 2014)\n            ']
637 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Dark Fantasy', 'Adventure', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal']",['\n              (first published January 29th 2007)\n            ']
382 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Audiobook', 'Games', 'Role Playing Games', 'Adventure', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Dragons', 'Science Fiction', 'Young Adult']",[]
641 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Audiobook', 'Adventure', 'Games', 'Role Playing Games', 'Science Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Dragons', 'Science Fiction', 'Virtual Reality']",[]
479 pages,[],"['Fantasy', 'Romance', 'Fantasy', 'Fairy Tales', 'Fiction', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Retellings', 'Young Adult', 'Romance', 'Fantasy Romance']",['\n              (first published January 1st 2004)\n            ']
317 pages,[],"['Fantasy', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Adventure', 'Fantasy', 'High Fantasy', 'Audiobook', 'Fantasy', 'Magic', 'Adult', 'Romance', 'Action']",['\n              (first published 2010)\n            ']
First Edition,"[""Goodreads Choice Award for Middle Grade & Children's (2013)""]","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Childrens', 'Middle Grade', 'Fiction', 'Adventure', 'Mythology', 'Greek Mythology', 'Fantasy', 'Urban Fantasy', 'Romance', 'Childrens']",[]
716 pages,[],[],[]
212 pages,[],"['Fantasy', 'Heroic Fantasy', 'Sword and Sorcery', 'Fiction', 'Short Stories', 'Science Fiction', 'Pulp', 'Classics', 'Horror', 'Science Fiction Fantasy', 'Anthologies']",['\n              (first published 1934)\n            ']
386 pages,['Gayle Wilson Award of Excellence for Paranormal and Fantasy (2008)'],"['Fantasy', 'Romance', 'Romance', 'Fantasy Romance', 'Fantasy', 'Magic', 'Fairies', 'Fae', 'Fantasy', 'Paranormal', 'Adult', 'Fantasy', 'High Fantasy', 'Fiction', 'Paranormal', 'Shapeshifters']",['\n              (first published October 30th 2007)\n            ']
528 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Young Adult', 'Adult', 'Fantasy', 'Magic', 'Epic', 'Science Fiction']",[]
343 pages,[],"['Fantasy', 'Dungeons and Dragons', 'Dragonlance', 'Fiction', 'Science Fiction Fantasy', 'Short Stories', 'Role Playing Games', 'Dungeons and Dragons', 'Fantasy', 'High Fantasy', 'Anthologies', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Dragons']",['\n              (first published 1992)\n            ']
499 pages,"['Locus Award Nominee for Best First Novel (2013)', 'Sunburst Award for Young Adult (2013)', 'William C. Morris YA Debut Award (2013)', 'Rhode Island Teen Book Award Nominee (2014)', 'Milwaukee County Teen Book Award Nominee (2013)', 'The Inky Awards Nominee for Silver Inky (2014)', 'Lincoln Award Nominee (2015)', 'Andre Norton Award Nominee (2012)', 'The Kitschies Nominee for Golden Tentacle (Debut) (2012)', 'CYBILS Award for Fantasy & Science Fiction (Young Adult) (2012)', 'Monica Hughes Award for Science Fiction and Fantasy (2013)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)', 'Carnegie Medal Nominee (2013)', 'Sheila A. Egoff Children’s Literature Prize Nominee (2013)', 'The Inky Awards Shortlist for Silver Inky (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2015)']","['Fantasy', 'Young Adult', 'Fantasy', 'Dragons', 'Fiction', 'Romance', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Mystery', 'Fantasy', 'Magic']",['\n              (first published July 1st 2012)\n            ']
264 pages,['Locus Award Nominee for Best Fantasy Novel (1992)'],"['Fantasy', 'Fiction', 'Mystery', 'Historical', 'Historical Fiction', 'Historical', 'Humor', 'Cultural', 'China', 'Adventure', 'Science Fiction Fantasy', 'Cultural', 'Asia']",[]
Omnibus,[],"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Science Fiction', 'Romance', 'Fantasy', 'Magic', 'Fantasy', 'Paranormal', 'Young Adult']",[]
800 pages,[],"['Fantasy', 'Science Fiction', 'Fiction', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Epic Fantasy', 'Science Fiction', 'Dystopia', 'Adventure', 'Audiobook', 'Epic', 'Fantasy', 'Urban Fantasy']",['\n              (first published 2001)\n            ']
334 pages,['Goodreads Choice Award Nominee for Fantasy (2012)'],"['Fantasy', 'Fantasy', 'Dragons', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Audiobook', 'Adult']",['\n              (first published September 2011)\n            ']
557 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Fantasy', 'Epic Fantasy', 'Paranormal', 'Witches', 'Fantasy', 'High Fantasy', 'Fantasy', 'Dragons', 'Science Fiction Fantasy', 'Romance', 'Adventure']",['\n              (first published 1998)\n            ']
452 pages,"[""Audie Award for Children's Titles Ages 8-12 (2005)"", 'Grand Canyon Reader Award for Intermediate Book (2006)', ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2007)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2006)"", 'Sunshine State Young Readers Award for Grades 6-8 (2006)', ""Rebecca Caudill Young Readers' Book Award Nominee (2007)""]","['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Childrens', 'Middle Grade', 'Childrens', 'Adventure', 'Pirates', 'Retellings', 'Fantasy', 'Magic', 'Fantasy', 'Fairy Tales']",['\n              (first published September 1st 2004)\n            ']
510 pages,[],"['Fantasy', 'Romance', 'Romance', 'Fantasy Romance', 'Fantasy', 'Magic', 'Adult', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Paranormal', 'Fiction', 'Adventure']",[]
First,[],['Christian Fiction'],[]
322 pages,['Goodreads Choice Award for Fantasy (2012)'],"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Audiobook', 'Adventure', 'Science Fiction Fantasy', 'Novels', 'Fantasy', 'Dark Fantasy']",['\n              (first published February 21st 2012)\n            ']
502 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Adventure', 'Epic', 'Science Fiction', 'Adult']",['\n              (first published January 1st 2001)\n            ']
382 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Romance', 'Adult', 'Young Adult', 'Epic']",['\n              (first published 1990)\n            ']
432 pages,[],"['Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Young Adult', 'Adventure']",[]
526 pages,"['Locus Award Nominee for Best First Novel (2018)', 'James Tiptree Jr. Award Nominee for Longlist (2017)']","['Fantasy', 'LGBT', 'Young Adult', 'Fiction', 'GLBT', 'Queer', 'Romance', 'Adult', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy']",[]
206 pages,[],"['Young Adult', 'Fiction']",[]
1312 pages,[],"['Fantasy', 'Dungeons and Dragons', 'Dragonlance', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Fiction', 'Epic', 'Role Playing Games', 'Dungeons and Dragons', 'Science Fiction', 'Games', 'Role Playing Games', 'Speculative Fiction']",['\n              (first published January 1st 1988)\n            ']
374 pages,[],"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Heroic Fantasy', 'Sword and Sorcery', 'Fantasy', 'Epic Fantasy', 'Science Fiction', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'High Fantasy', 'Classics', 'Dark']",[]
